date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
21:03:26	24364/24364	---M-Z	200	added ('OK')	text/html	etag:W/%225506f3ac-5f2c%22	https://technext.github.io/Fitness/	C:/My%20Web%20Sites/fitness/technext.github.io/Fitness/index.html	(from )
21:03:26	5232/5232	---M-Z	404	error ('Not%20Found')	text/html	etag:W/%225f9755a2-247b%22	https://technext.github.io/robots.txt		(from )
21:03:27	682/682	---M--	200	added ('OK')	image/jpeg	etag:%225506f3ac-2aa%22	https://technext.github.io/Fitness/images/favicon.jpg	C:/My%20Web%20Sites/fitness/technext.github.io/Fitness/images/favicon.jpg	(from https://technext.github.io/Fitness/)
21:03:27	1486/1486	---M-Z	200	added ('OK')	text/css	etag:W/%225506f3ac-5ce%22	https://technext.github.io/Fitness/css/reset.css	C:/My%20Web%20Sites/fitness/technext.github.io/Fitness/css/reset.css	(from https://technext.github.io/Fitness/)
21:03:27	41626/41626	---M-Z	200	added ('OK')	text/css	etag:W/%225506f3ac-a29a%22	https://technext.github.io/Fitness/css/animate.min.css	C:/My%20Web%20Sites/fitness/technext.github.io/Fitness/css/animate.min.css	(from https://technext.github.io/Fitness/)
21:03:28	99947/99947	---M-Z	200	added ('OK')	text/css	etag:W/%225506f3ac-1866b%22	https://technext.github.io/Fitness/css/bootstrap.min.css	C:/My%20Web%20Sites/fitness/technext.github.io/Fitness/css/bootstrap.min.css	(from https://technext.github.io/Fitness/)
21:03:28	21789/21789	---M-Z	200	added ('OK')	text/css	etag:W/%225506f3ac-551d%22	https://technext.github.io/Fitness/css/style.css	C:/My%20Web%20Sites/fitness/technext.github.io/Fitness/css/style.css	(from https://technext.github.io/Fitness/)
21:03:28	25217/25217	---M-Z	200	added ('OK')	text/css	etag:W/%225506f3ac-6281%22	https://technext.github.io/Fitness/css/font-awesome.css	C:/My%20Web%20Sites/fitness/technext.github.io/Fitness/css/font-awesome.css	(from https://technext.github.io/Fitness/)
21:03:28	5922/5922	---M-Z	200	added ('OK')	text/css	etag:W/%225506f3ac-1722%22	https://technext.github.io/Fitness/css/owl.carousel.css	C:/My%20Web%20Sites/fitness/technext.github.io/Fitness/css/owl.carousel.css	(from https://technext.github.io/Fitness/)
21:03:29	8766/8766	---M-Z	200	added ('OK')	text/css	etag:W/%225506f3ac-223e%22	https://technext.github.io/Fitness/css/responsive.css	C:/My%20Web%20Sites/fitness/technext.github.io/Fitness/css/responsive.css	(from https://technext.github.io/Fitness/)
21:03:29	9233/9233	---M-Z	200	added ('OK')	text/css	etag:W/%225506f3ac-2411%22	https://technext.github.io/Fitness/css/player/YTPlayer.css	C:/My%20Web%20Sites/fitness/technext.github.io/Fitness/css/player/YTPlayer.css	(from https://technext.github.io/Fitness/)
